bn_word,en_word,normalised_bn,pos,ipa_pron,roman_pron,bn_definition,bn_synonyms,en_synonyms,bn_antonyms,usage_sentences
বুদ্ধিমত্তা,intellectually,বুদ্ধিমত্তা,,,Bud'dhimattā,"ধীশক্তি, বুদ্ধিশালিতা; বিজ্ঞতা, মনীষা।",,,,
বুদ্ধিজীবী,intellectual,বুদ্ধিজীবী,,ˌintlˈekCHo͞oəl,Bud'dhijībī,সমাজ সংস্কৃতি প্রভৃতি বিষয়ে সচেতন এবং জ্ঞানবিজ্ঞানে দক্ষ ও শিক্ষিত ব্যক্তি।,বুদ্ধিজীবী ব্যক্তি|বুদ্ধিজীবী|বুদ্ধিগত|বুদ্ধিমান|অধ্যাত্মিক,highbrow|learned person|academic|bookworm|man/woman of letters|bluestocking|thinker|brain|scholar|genius|polymath|mastermind|egghead|Einstein|brains|brainiac|rocket scientist|mental|cerebral|cognitive|psychological|rational|abstract|conceptual|theoretical|analytical|logical,,"Finally, a fabulous essay that requires more <b>intellectual</b> energy to understand than I have today.|The book is in essence the life story of a mild-mannered and cultured <b>intellectual</b> living under communism."
বুদ্ধি,intellect,বুদ্ধি,,ˈintlˌekt,Bud'dhi,intelligence,বুদ্ধি|বুদ্ধিবৃত্তি|মগজ|ধীশক্তি|মেধা|মতি|ধী|মাথা|বোধশক্তি,mind|brain(s)|intelligence|reason|understanding|thought|brainpower|sense|judgment|wisdom|wits|gray matter|IQ|brain cells|smarts,,This is a highly recommended collection from a highly regarded <b>intellect</b> and one that will not disappoint.|It combines the combustible power of a keen <b>intellect</b> with powerful conviction and ethical courage.
সততা,integrity,সততা,,inˈtegritē,Satatā,,সততা|অখণ্ডতা|বিশুদ্ধতা|সম্পূর্ণতা|ন্যায়পরায়ণতা|সাধুতা,honesty|probity|rectitude|honor|good character|principle(s)|ethics|morals|righteousness|morality|virtue|decency|fairness|scrupulousness|sincerity|truthfulness|trustworthiness,,"A question has emerged on the territorial <b>integrity</b> of the country.|Every person has a responsibility to behave with <b>integrity</b> , honesty and fairness."
ইন্টিগ্রেশন,integration,ইন্টিগ্রেশন,,ˌintiˈgrāSHən,Inṭigrēśana,,বিভিন্ন উপাদানের মিলন|বিভিন্ন উপাদানের একীকরণ|বিভিন্ন উপাদানের একীভবন,consolidation,,"This second engine has been modified based on experience gained during manufacturing, <b>integration</b> and previous tests.|He also worked on asymptotic analysis, fractional <b>integration</b> and singular partial differential equations."
গোটা,integrate,গোটা,,ˈintiˌgrāt,Gōṭā,"অখণ্ড, আস্ত (গোটা দেশ)",সম্পূর্ণ|অখণ্ড|গোটা|একীভূত করা|সম্পূর্ণ করা,combine|amalgamate|merge|unite|fuse|blend|mingle|coalesce|consolidate|meld|intermingle|mix|incorporate|unify|assimilate|homogenize|desegregate,,"When he helped <b>integrate</b> Tuscaloosa Junior High School, a white boy hit him in the face with a spitball.|there was a national campaign under way to <b>integrate</b> the lunch counters"
অখণ্ড,integral,অখণ্ড,,"inˈteg-,ˈintigrəl",Akhaṇḍa,"সমগ্র, সম্পূর্ণ্য, অখণ্ড অবস্থা সংক্রান্ত নির্দিষ্ট ভাব, অবস্থা বা প্রক্রিয়া।",অখণ্ড|পূর্ণ|গোটা|সম্পূর্ণ|অভঙ্গ,essential|fundamental|basic|intrinsic|inherent|constitutive|innate|structural|vital|necessary|requisite,,He says one of those ‘bite your thumb’ lines so <b>integral</b> to the whole adolescent love story.|Producer John Simon was an <b>integral</b> part of the Band's classic recordings.
পূর্ণসংখ্যা,integer,পূর্ণসংখ্যা,,ˈintijər,Pūrṇasaṅkhyā,ভগ্নাংশ নয় এমন সংখ্যা।,পূর্ণসংখ্যা|সম্পূর্ণ বস্তু,whole number,,"By contrast, which is sometimes overlooked, in the arithmetical Books 7-9 multiplication of <b>integers</b> themselves occurs as usual.|When talking about modular arithmetic it is important to remember that we are only allowed to use <b>integers</b> , that is whole numbers."
অধরা,intangible,অধরা,,inˈtanjəbəl,Adharā,"প্রতারণাপূর্ণ, ফাঁকা, ছলনাময় সংক্রান্ত নির্দিষ্ট ভাব, অবস্থা বা প্রক্রিয়া।",অধরা|অবাস্তব|অলীক|অস্পৃশ্য|অসার|স্পর্শনাতীত|অননুভবনীয়|ধরা-ছোঁয়ার বাইরে|ধোঁয়াটে,intangible asset|impalpable|untouchable|incorporeal|discarnate|abstract|ethereal|insubstantial|immaterial|airy|ghostly|spectral|unearthly|supernatural,,"A company's book value is its net asset value minus its <b>intangible</b> assets, current liabilities, long-term debt and equity issues.|This means that most of the backing for the share price is goodwill, an <b>intangible</b> asset."
ঘেরা জমি,intake,ঘেরা জমি,,ˈinˌtāk,Ghērā jami,,ঘেরা জমি|জল ভরার স্থান|নলের সঙ্কুচিত অংশ|নলের সঙ্কীর্ণ অংশ,breathing in|aspiration|inhalation|inspiration,,cut rectangular holes for the air <b>intake</b>|his alcohol <b>intake</b>
অক্ষত,intact,অক্ষত,,inˈtakt,Akṣata,যা ক্ষত নয়; অনাহত; যা আঘাত বা ক্ষতির দ্বারা নষ্ট হয়নি।,অক্ষত|অটুট|অক্ষুণ্ণ|অস্পৃষ্ট|অনাহত|সম্পূর্ণ|বলবৎ,whole|entire|complete|unbroken|undamaged|unimpaired|faultless|flawless|unscathed|untouched|unspoiled|unblemished|unmarked|perfect|pristine|inviolate|undefiled|unsullied|virgin|in one piece|sound|solid,,This provision should be allowed to remain <b>intact</b> and not be damaged by any new proposal.|The day of reckoning has past and somehow I managed to survive reasonably <b>intact</b> .
বিদ্রোহ,insurrection,বিদ্রোহ,,ˌinsəˈrekSHən,Bidrōha,প্রচলিত ব্যবস্থার বিরোধিতা। ক্ষমতাসীন শাসকগোষ্ঠী বা নেতৃত্বের বিরুদ্ধে অভ্যুত্থান।,উপপ্লব|বিদ্রোহ,rebellion|revolt|uprising|mutiny|revolution|insurgence|riot|sedition|subversion|civil disorder|unrest|anarchy|coup (d'état),,Releasing the photos at that point would have run the risk of stirring up <b>insurrectionists</b> and undermining the new government.|Nothing frightened slave-dependent societies more than the prospect of widespread slave <b>insurrections</b> .
অনতিক্রম্য,insurmountable,অনতিক্রম্য,,ˌinsərˈmountəbəl,Anatikramya,"অদম্য, অলঙ্ঘ্য, অনতিক্রমণীয় সংক্রান্ত নির্দিষ্ট ভাব, অবস্থা বা প্রক্রিয়া।",অনতিক্রম্য|অদম্য|অলঙ্ঘ্য|অনতিক্রমণীয়|অদমনীয়,insuperable|unconquerable|invincible|unassailable|overwhelming|hopeless|impossible,,"It's time to show people who think the challenges that we face are <b>insurmountable</b> that they're wrong.|But while the young lions have a mountain to climb, Howarth insists the deficit is not <b>insurmountable</b> ."
বিদ্রোহী,insurgent,বিদ্রোহী,,inˈsərjənt,Bidrōhī,প্রচলিত ব্যবস্থার বিরুদ্ধাচারী। বিদ্রোহকারী। স্ত্রীবাচক: বিদ্রোহিণী।,রাজদ্রোহী|বিদ্রোহী,rebellious|rebel|revolutionary|mutinous|insurrectionist|renegade|seditious|subversive|revolutionist|mutineer|agitator|incendiary|guerrilla|freedom fighter|anarchist|terrorist,,"These young soldiers, and they are very young, all have their own way of coping with the threat of <b>insurgent</b> attacks, the instant when a normal day can become a disaster.|In October of this year, there were 3,100 <b>insurgent</b> attacks."
বিদ্রোহ,insurgency,বিদ্রোহ,,,Bidrōha,প্রচলিত ব্যবস্থার বিরোধিতা। ক্ষমতাসীন শাসকগোষ্ঠী বা নেতৃত্বের বিরুদ্ধে অভ্যুত্থান।,অভু্যত্থান|স্ফীতি|বিদ্রোহ,insurgence,,
বীমা করা,insured,বীমা করা,,inˈSHo͝ord,Bīmā karā,,বীমা করা|বিমা-কৃত,insured person,,"Where the pledge covers goods, the customer undertakes to keep them fully <b>insured</b> and promises to pay all charges due for their storage.|According to the Kaiser Family Foundation, in addition to having insurance premiums to pay, more than half of the <b>insured</b> pay a deductible."
নিশ্চিত করা,insure,নিশ্চিত করা,,inˈSHo͝or,Niścita karā,,নিশ্চিত করা|বিমা করা|নিরাপদ্ করা,provide insurance for|indemnify|cover|assure|protect|underwrite|guarantee|warrant,,Both <b>insure</b> against loss or damage to gear and set premiums on declared value.|such changes could <b>insure</b> against further violence and unrest
বীমা,insurance,বীমা,,inˈSHo͝orəns,Bīmā,insurance,বিমা|বিমাপত্র|বিমার টাকা|বিমার কিশতি,indemnity|indemnification|assurance|(financial) protection|security|coverage,,"I've worked in a lot of businesses - <b>insurance</b> , clothing, construction materials, automobiles, telecom.|I had a phone call from the bank yesterday from someone trying to sell me Card Protection <b>insurance</b> ."
অপমানকর,insulting,অপমানকর,,inˈsəltiNG,Apamānakara,,গঁজনা|অপমানকর|অমর্যাদাপূর্ণ,abusive|rude|offensive|disparaging|belittling|derogatory|deprecatory|disrespectful|uncomplimentary|pejorative|disdainful|derisive|scornful|contemptuous|defamatory|slanderous|libelous|scurrilous|blasphemous|bitchy|catty|snide,,"The <b>insulting</b> character of the criticism, however, prevented some from delving more deeply into the controversy.|This <b>insulting</b> decision speaks volumes about the direction sports is headed."
অপমান,insult,অপমান,,,Apamāna,অবমাননা; লাঞ্ছনা; অসম্মান।,অপমান করা|অমর্যাদা করা|গঁজনা দেত্তয়া|কুপিত করা|ক্ষতিগ্রস্ত করা|অপমান|অমর্যাদা|গঁজনা|কদুক্তি|লাঁছনা|বেইজ্জতি|খোয়ার,abuse|be rude to|slight|disparage|discredit|libel|slander|malign|defame|denigrate|cast aspersions on|call someone names|put someone down|offend|affront|hurt|humiliate|wound|badmouth|dis|derogate|calumniate|asperse|abusive remark|jibe|barb|slur|indignity|injury|defamation|disparagement|aspersions|dig|crack|put-down|slap in the face|kick in the teeth|cheap shot|low blow|smack talk,,"This Minister has introduced a bill that is an absolute <b>insult</b> to the cause he should be serving.|I strongly feel that what has been written about him in your paper is a slur on his character and an <b>insult</b> to his profession, and that you should apologise to him in writing."
ইন্সুলিন,insulin,ইন্সুলিন,,ˈinsələn,Insulina,,ইন্সুলিন,,,"When there is a shortage or lack of <b>insulin</b> , glucose will accumulate and diabetes will develop.|Type I diabetes is treated by injections of <b>insulin</b> , which helps the body break down glucose, and a healthy diet."
অন্তরণ,insulation,অন্তরণ,,ˌins(y)əˈlāSHən,Antaraṇa,,অন্তরণ,insularity|insularism|detachment,,"This includes standards for heating, <b>insulation</b> , modern facilities and general conditions.|Use higher density <b>insulation</b> , such as rigid foam boards, in cathedral ceilings and on exterior walls."
আলাদা করিয়া রাখা,insulate,আলাদা করিয়া রাখা,,ˈins(y)əˌlāt,Ālādā kariẏā rākhā,,আলাদা করিয়া রাখা|একান্তে রাখা|পৃথক্ করিয়া রাখা,wrap|sheathe|cover|coat|encase|enclose|envelop|heatproof|soundproof|pad|cushion,,"With hot water heating systems, the diameter of the piping remains constant, the slope is irrelevant, and all lines are <b>insulated</b> to prevent heat loss.|<b>insulate</b> and draught-proof your home"
সংকীর্ণচিত্ততা,insularity,সংকীর্ণচিত্ততা,,"-ˈler-,ˌins(y)əˈlaritē",Saṅkīrṇacittatā,,সংকীর্ণচিত্ততা,insulation|insularism|detachment,,an example of British <b>insularity</b>|the stifling <b>insularity</b> of the children's existence
জলবেষ্টিত,insular,জলবেষ্টিত,,ˈins(y)ələr,Jalabēṣṭita,"জল দিয়ে ঘেরা এমন, পরিখাবেষ্টিত।",জলবেষ্টিত|দ্বৈপ|দ্বৈপ্য|দ্বীপগত|একান্তে অবস্থিত|সঙ্কীর্ণচিত্ত,narrow-minded|small-minded|inward-looking|parochial|provincial|small-town|shortsighted|hidebound|blinkered|set in one's ways|inflexible|rigid|entrenched|illiberal|intolerant|prejudiced|bigoted|biased|partisan|xenophobic|redneck,,"Today the island is home to a large colony of little terns and is the only <b>insular</b> colony in Ireland.|Opponents of the nomination declared it to be the product of cronyism that revealed an <b>insular</b> , arrogant White House."
অপর্যাপ্ত,insufficient,অপর্যাপ্ত,,ˈinsəˈfiSHənt,Aparyāpta,প্রয়োজনের তুলনায় যথেষ্ট নয় এমন।,অপর্যাপ্ত|অপ্রতুল,inadequate|deficient|poor|scant|scanty|not enough|too little|too few|too small|scarce|sparse|in short supply|lacking|wanting|paltry|meager|niggardly|incomplete|restricted|limited|measly|pathetic|piddling,,The report found many examples of good work but said <b>insufficient</b> priority was being given to the issue.|Greig added that some minor roads in rural areas might have to be shut down if there are <b>insufficient</b> funds to fix them.
অপ্রতুলতা,insufficiency,অপ্রতুলতা,,ˌinsəˈfiSHənsē,Apratulatā,পর্যাপ্ততার অভাব; অপ্রাচুর্য।,অপ্রতুলতা|কমতি|অপ্রতুল|অপ্রাচুর্য|অকুলন|অকুলান|ক্ষীণত্ব|ক্ষীণতা,deficiency|inadequacy,,"The Chinese team demonstrated a fundamental professional <b>insufficiency</b> , and worse than this, they never bothered to play at anything more than half-steam.|Because users experience breakdowns and <b>insufficiencies</b> of an environment in their work, they should be able to report, react to, and resolve those problems."
অসহ্য,insufferable,অসহ্য,,inˈsəf(ə)rəbəl,Asahya,"সহ্য করা যায় না এমন, দুঃসহ (অসহ্য যন্ত্রণা)।",অসহ্য|অসহ|জঘন্য|অসহনীয়,intolerable|unbearable|unendurable|insupportable|unacceptable|oppressive|overwhelming|overpowering|too much,,"If this level of population growth were to happen in Laois, an <b>insufferable</b> burden will be placed on people living in the county.|How does punishment, no matter how <b>insufferable</b> , become legal?"
অবাস্তব,insubstantial,অবাস্তব,,ˌinsəbˈstanCHəl,Abāstaba,,অবাস্তব|অসার|অলীক|অস্থূল,flimsy|fragile|breakable|weak|frail|slight|unstable|shaky|wobbly|rickety|ramshackle|jerry-built,,"At times, the book is about as convincing as a fairytale, proffering only light and <b>insubstantial</b> imaginings.|She becomes daily more <b>insubstantial</b> , her figure wraithlike."
অবাধ্যতা,insubordination,অবাধ্যতা,,ˌinsəˌbôrdnˈāSHən,Abādhyatā,অমান্যতা;,অবাধ্যতা|অনধীনতা,disobedience|unruliness|indiscipline|bad behavior|misbehavior|misconduct|delinquency|insolence|rebellion|defiance|mutiny|revolt|recalcitrance|willfulness|awkwardness|perversity|acting-up|contumacy,,he was dismissed for <b>insubordination</b>|he was dismissed for <b>insubordination</b>
অবাধ্য,insubordinate,অবাধ্য,,ˌinsəˈbôrdn-it,Abādhya,বাধ্য বা বশীভূত নয় এমন; কথা বা নির্দেশ মানে না এমন।,অবাধ্য|অনধীন,disobedient|unruly|wayward|errant|badly behaved|disorderly|undisciplined|delinquent|troublesome|rebellious|defiant|recalcitrant|uncooperative|willful|intractable|unmanageable|uncontrollable|awkward|difficult|perverse|contrary|disrespectful|cheeky,,"If given a direction by the administration, we will not be <b>insubordinate</b> .|Atkins took the refusal to answer as <b>insubordination</b> and insolence."
যান্ত্রিক,instrumental,যান্ত্রিক,,ˌinstrəˈmentl,Yāntrika,,যান্ত্রিক|সহায়ক|যন্ত্রকৃত|যন্ত্রগত|যন্ত্রতুল্য|বাদ্যযন্ত্রগত|করণ-কারকীয়,involved|active|influential|contributory|helpful|useful|of service|significant|important|crucial|critical|essential|pivotal|key|play a part in|contribute to|be a factor in|have a hand in|add to|help|promote|advance|further|be conducive to|lead to|cause,,"There follow three chapters dealing with other sources grouped by genre: sacred music, theatre music and vocal, keyboard and <b>instrumental</b> music.|Duquin argues that nonactive representations of women may reinforce the view that women's bodies serve an ornamental, rather than <b>instrumental</b> , function."
যন্ত্র,instrument,যন্ত্র,,ˈinstrəmənt,Yantra,যে ব্যক্তিকে কার্যদ্ধারের জন্য হাতিয়ারস্বরূপ ব্যবহার করা হয়,যন্ত্র|দলিল|বাদ্যযন্ত্র|অস্ত্র|সাধিত্র|কার্যসম্পাদন|সাধনী|সাধন,implement|tool|utensil|device|apparatus|contrivance|gadget,,Both have committed themselves to developing education as an <b>instrument</b> of social change.|a percussion <b>instrument</b>
উপাধ্যায়,instructor,উপাধ্যায়,,inˈstrəktər,Upādhyāẏa,,উপদেষ্টা|উপাধ্যায়|অধ্যাপক|উপদেশক,teacher|schoolteacher|educator|professor|mentor|tutor|coach|trainer|adviser|counselor|guide|pedagogue,,"I am part of a team of flying <b>instructors</b> and we teach RAF pilots how to fly Nimrods, a maritime patrol aircraft.|The gym has five full-time <b>instructors</b> teaching seven days a week."
instructively,instructively,instructively,,,Instructively,,,,,
শিক্ষামূলক,instructive,শিক্ষামূলক,,inˈstrəktiv,Śikṣāmūlaka,educational,শিক্ষামূলক|জ্ঞানগর্ভ|নির্দেশপূর্ণ|শিক্ষাপূর্ণ,informative|instructional|informational|illuminating|enlightening|explanatory|educational|educative|edifying|didactic|pedagogic|heuristic|improving|moralistic|homiletic|useful|helpful,,"In this connection, the jamming situation is of crucial importance for the <b>instructiveness</b> of exercises.|For these assertions are <b>instructive</b> just because they reveal some of the less obvious effects of a denial of human rights."
নির্দেশাবলী,instructions,নির্দেশাবলী,,,Nirdēśābalī,"নির্দেশ, শিক্ষা, শিক্ষাদান সংক্রান্ত নির্দিষ্ট ভাব, অবস্থা বা প্রক্রিয়া।",নির্দেশ|শিক্ষা|শিক্ষাদান|শিক্ষণ|অনুবেদন|তালিম|আদেশ|নিদেশ|অনুশাসন|জ্ঞাপন,order|command|directive|direction|decree|edict|injunction|mandate|dictate|commandment|bidding|requirement|stipulation|marching orders|behest|operating instructions,,
নির্দেশ,instruction,নির্দেশ,,inˈstrəkSHən,Nirdēśa,"নির্ধারণ, স্থিরীকরণ। বিশেষভাবে প্রদর্শন। আদেশ। উপদেশ। পরিচালন।",নির্দেশবলী||পাঠন|অধ্যাপনা|নির্দেশ|শিক্ষা|শিক্ষাদান|শিক্ষণ|অনুবেদন|তালিম|আদেশ|নিদেশ|অনুশাসন|জ্ঞাপন,order|command|directive|direction|decree|edict|injunction|mandate|dictate|commandment|bidding|requirement|stipulation|marching orders|behest,,"That is to say, Taiwanese educators fail to give <b>instruction</b> in accordance with individual needs.|Educators also spend less time in actual teaching or <b>instruction</b> than is specified in policy."
শিখান,instruct,শিখান,,inˈstrəkt,Śikhāna,,শিক্ষা দেওয়া|শেখানো|জ্ঞাত করা|জানানো|আদেশ পাঠানো|নির্দেশ দেওয়া|শিখান|পড়ান|জ্ঞাপন করা|নির্দেশ দেত্তয়া|অধ্যাপনা করা|শিক্ষা দেত্তয়া|আদেশ দেত্তয়া|উপদেশ দেত্তয়া,order|direct|command|tell|enjoin|require|call on|mandate|charge|bid,,"When this is all over, maybe they'll even <b>instruct</b> the real officials to loosen up a bit, to let the players play.|They also recommended the issuance of a policy letter <b>instructing</b> award-fee officials to commit funds as contingent liabilities when evaluation periods begin."
প্রাতিষ্ঠানিক,institutional,প্রাতিষ্ঠানিক,,ˌinstiˈt(y)o͞oSHənl,Prātiṣṭhānika,প্রতিষ্ঠানসংক্রান্ত; প্রতিষ্ঠানগত।,প্রতিষ্ঠানগত|সেবাসমিতি-সংক্রান্ত,organized|established|bureaucratic|conventional|procedural|prescribed|set|routine|formal|systematic|systematized|methodical|businesslike|orderly|coherent|structured|regulated,,"The age in which <b>institutional</b> religion holds appeal is passing away.|Jim walked warily into the drab <b>institutional</b> room, nodding to the inhabitant."
প্রতিষ্ঠান,institution,প্রতিষ্ঠান,,ˌinstiˈt(y)o͞oSHən,Pratiṣṭhāna,"সংস্থাপন। অবস্থান, স্থিতি। সংগঠন; সংস্থা, সমিতি। সংস্থার গৃহ।",সমিতি|নিয়োগ||প্রচলন|প্রতিষ্ঠান|প্রতিষ্ঠা|স্থাপন|প্রবর্তন|ভিত্তি|প্রতিষ্ঠানের ভবন|বিধান|জারি|কার্যালয়,establishment|organization|institute|foundation|center|academy|school|college|university|society|association|body|guild|federation|consortium,,"Marriage is primarily a social <b>institution</b> , not a religious one.|Should we adopt Scandinavia's style of socio-economic policy, reducing our commitment to the <b>institution</b> of marriage and improving our commitment to parenthood?"
প্রতিষ্ঠান,institute,প্রতিষ্ঠান,,ˈinstiˌt(y)o͞ot,Pratiṣṭhāna,"সংস্থাপন। অবস্থান, স্থিতি। সংগঠন; সংস্থা, সমিতি। সংস্থার গৃহ।",স্থাপন করা|প্রবর্তন করা|নিযুক্ত করা|ঠাওরান|জারি করা|শিক্ষা দেত্তয়া|প্রতিষ্ঠানভবন|সমিতিগৃহ|বিদ্যায়তন|বিশেষ উদ্দেশ্যে গঠিত কোনো প্রতিষ্ঠান|প্রতিষ্ঠান|শিক্ষালয়|শিক্ষাস্থান|উপদেশ গ্রন্থ|নীতি গ্রন্থ|নিয়মের গ্রন্থ,initiate|set in motion|get underway|get off the ground|get going|start|commence|begin|launch|set up|inaugurate|found|establish|organize|generate|bring about|start the ball rolling on|kick off,,Why have we allowed ourselves to become customers of Victoria University instead of students at an educational <b>institute</b> ?|Attending a university or science <b>institute</b> is difficult because there is much competition just to get in.
instinctively,instinctively,instinctively,,,Instinctively,,,,,
স্বভাবজ,instinctive,স্বভাবজ,,inˈstiNG(k)tiv,Sbabhābaja,"স্বভাব থেকে জাত, প্রকৃতিগত, স্বাভাবিক।",স্বতঃস্ফূর্ত|সহজাত|প্রবৃত্তিগত|স্বভাবজ|প্রকৃতিজাত|সহজপ্রবৃত্তিজাত|সহজপ্রবৃত্তি অনুযায়ী|প্রকৃতিজ|সহজ|প্রেরণা-প্রসূত,intuitive|natural|instinctual|innate|inborn|inherent|unconscious|subconscious|intuitional|automatic|reflex|knee-jerk|mechanical|spontaneous|involuntary|impulsive|gut|second nature,,"I found that she's a very intuitive, <b>instinctive</b> actress, she doesn't talk a lot of stuff about motivations.|Bennett gets open because he is <b>instinctive</b> , makes good decisions and runs great routes."
সত্ত্ব,instinct,সত্ত্ব,,,Sattba,"সত্তা, বিদ্যমানতা (তৎসত্ত্বেও)। বল, পরাক্রম (সত্ত্ববান)। স্বভাব, প্রকৃতি (শুদ্ধসত্ত্ব)। উৎসাহ (সত্ত্বাহীন)। প্রাণ, ভ্রূণ (অন্তঃসত্ত্বা)। ত্রিগুণের প্রথমটি। (বাংলায়) ফলের রস শুকিয়ে প্রস্তুত খাদ্যবস্তু (আমসত্ত্ব)।",অনুপ্রাণিত|উদ্বুদ্ধ|পূর্ণ|সত্ত্ব|প্রেরণা|উপজ্ঞা|সহজাত ধারণা|সহজপ্রবৃত্তি|সহজাত সংস্কার|প্রবৃত্তি|সহজাত প্রবৃত্তি|স্বভাব|প্রবণতা|ইতর প্রাণীর সহজাত বুদ্ধি বা জ্ঞান,replete|natural tendency|inherent tendency|inclination|urge|drive|compulsion|need|intuition|feeling|hunch|sixth sense|insight|nose,,"As it turns out, having a natural <b>instinct</b> for teaching is sometimes more useful than having real life experience.|But was her affection for him, her obvious attraction to him, based solely upon an <b>instinct</b> to reproduce and justify her feminine role in society?"
ধীরে ধীরে প্রবেশ করান,instill,ধীরে ধীরে প্রবেশ করান,,inˈstil,Dhīrē dhīrē prabēśa karāna,,ধীরে ধীরে প্রবেশ করান|বিন্দু বিন্দু করিয়া ঢালা,inculcate|implant|ingrain|impress|imprint|introduce|engender|produce|generate|induce|inspire|promote|foster|drum (into)|drill (into),,how do we <b>instill</b> a sense of rightness in today's youth?|she was told how to <b>instill</b> eye drops
উসকানি,instigation,উসকানি,,ˌinstiˈgāSHən,Usakāni,প্রবর্ধন;,প্ররোচনা|উত্তেজনা|উসকানি|উত্তেজন|মন্ত্রণা|প্রণোদন,prompting|suggestion|recommendation|request|entreaty|demand|insistence|wish|desire|persuasion|instance,,"But he insists that it was at the woman's <b>instigation</b> , and said he was ‘stunned, disgusted and embarrassed’ by what she did.|A terracotta army of over 7000 life-sized soldiers made at his <b>instigation</b> and buried in three large pits near the tomb was discovered in 1974."
প্ররোচিত করা,instigate,প্ররোচিত করা,,ˈinstiˌgāt,Prarōcita karā,,উসকান|উত্তেজিত করা|প্ররোচিত করা|প্রণোদিত করা|খোঁচান,set in motion|get underway|get off the ground|start|commence|begin|initiate|launch|institute|set up|inaugurate|establish|organize|actuate|generate|bring about|start the ball rolling on|kick off,,"The grizzled man is the <b>instigator</b> of all the troubles between Billy and the master-at-arms.|The Knight of Swords' <b>instigates you to</b> be active, skillful and clever in work situations today."
পদপৃষ্ঠ,instep,পদপৃষ্ঠ,,ˈinˌstep,Padapr̥ṣṭha,পায়ের পাতা।,পায়ের পাতার নিচের দিকটা|পদপৃষ্ঠ|পাদপৃষ্ঠ,,,"Padding on the heel, ball of the foot, and <b>instep</b> provides extra cushioning and blister protection, and eases pressure from laces and boot folds.|Instead of his usual suit, he was dressed casually in an open-necked knit shirt, and light-colored slacks, and soft Italian shoes with little tassels over the <b>instep</b> ."
পরিবর্তে,instead,পরিবর্তে,,inˈsted,Paribartē,"instead of
সমার্থক শব্দ: বদলে",জায়গায়|পরিবর্তে|বদলে|স্থানে|বজায়,as an alternative|alternatively|alternately|on second thoughts|all things being equal,,"My cousin had one that used to smoke, but he trained it out of that and got it doing exercise <b>instead</b> .|It kind of is rubbish too seeing that it isn't really a film at all but <b>instead</b> is an album set to visuals."
তাত্ক্ষণিক রিপ্লে,instant replay,তাত্ক্ষণিক রিপ্লে,,,Tātkṣaṇika riplē,,,action replay|replay,,And 30-second skip and 7-second <b>instant replay</b> features make it even easier to move around your favorite TV shows.|You'll multitask or wander off getting chores done - only to rush back into the living room to catch the <b>instant replay</b> of one of those ‘moments.’
অবিলম্বে,instantly,অবিলম্বে,,ˈinstəntlē,Abilambē,কোনো বিলম্ব না করে; সঙ্গে সঙ্গে।,তৎক্ষণাত|অবিলম্বে|সঙ্গে সঙ্গে|মুহূর্তমধ্যে|মুহূর্তের মধ্যে|ক্ষণকালে|পলকমধ্যে|অমনি,immediately|at once|straightaway|right away|instantaneously|suddenly|abruptly|all of a sudden|forthwith|then and there|here and now|this/that minute|this/that instant|quickly|rapidly|speedily|promptly|in an instant|in a moment|in a (split) second|in a trice|in/like a flash|like a shot|in the twinkling of an eye|in no time (at all)|before you know it|in a jiffy|in a jiff|pronto|like (greased) lightning|stat|on the double|tout de suite,,"On examining the log, the immediate cause of the error was <b>instantly</b> apparent.|she fell asleep almost <b>instantly</b>"
তাত্ক্ষণিকভাবে,instantaneously,তাত্ক্ষণিকভাবে,,,Tātkṣaṇikabhābē,,তৎক্ষণাৎ|তক্ষুণি|অবিলম্বে|সঙ্গে সঙ্গে|তড়িঘড়ি,in a flash|outright|instantly,,
ক্ষণিক,instantaneous,ক্ষণিক,,ˌinstənˈtānēəs,Kṣaṇika,,তুরন্ত|তাৎক্ষণিক|মুহূর্ত মধ্যে সংঘটিত|অচিরাৎ|ক্ষণিক|মুহূর্তমধ্যে কৃত|মুহূর্তমধ্যে সঙ্ঘটিত|সঙ্গে সঙ্গে কৃত|সঙ্গে সঙ্গে সঙ্ঘটিত|অবিলম্বে কৃত|অবিলম্বে সঁঘটিত|ক্ষণস্থায়ী,immediate|instant|on-the-spot|prompt|swift|speedy|rapid|quick|express|expeditious|lightning|sudden|hurried|precipitate|snappy|pretty damn quick|PDQ|fleet,,"That'll teach me to fall victim to <b>instantaneity</b> .|Best practices at this point suggest rapid, but not <b>instantaneous</b> , installation of vendor packages."
ইনস্ট্যান্ট,instant,ইনস্ট্যান্ট,,ˈinstənt,Inasṭyānṭa,,ত্বরিত|তত্ক্ষণিক|ক্ষণস্থায়ী|অবিলম্বিত|জরুরি|বর্তমান|সাম্প্রতিক|বর্তমান মাসের|ক্ষণ|ক্ষণিক|ক্ষণেক|পলক|অনুপল|চকিত|বর্তমান মুহূর্ত|সময়|সদ্য|আশু|জরুরী,immediate|instantaneous|on-the-spot|prompt|swift|speedy|rapid|quick|express|lightning|sudden|precipitate|abrupt|snappy|pretty damn quick|PDQ|moment|minute|second|juncture|point,,"In the <b>instant</b> case, the direct given by the judge has not been shown to be inappropriate in the circumstances.|The cheerful ring in his voice disappeared in an <b>instant</b> ."
